Date,Price,Open,High,Low,Vol.,Change %
2-Dec,51.6,46.2,54.25,42.33,68.58K,10.85%
2-Nov,46.55,42.65,47.05,42.6,88.57K,7.95%
2-Oct,43.12,40.7,45.45,39.45,78.96K,7.26%
2-Sep,40.2,29.8,41.08,29.4,74.85K,30.18%
2-Aug,30.88,51.5,51.5,29.77,53.31K,-40.35%
2-Jul,51.77,51.1,55.92,48.98,49.31K,2.47%
2-Jun,50.52,47.3,52.55,46.2,46.63K,8.06%
2-May,46.75,44.5,53.9,43.73,42.55K,2.52%
2-Apr,45.6,51,53.95,40.83,40.94K,-12.10%
2-Mar,51.88,59.95,60.3,51.55,88.75K,-14.03%
2-Feb,60.35,56.2,60.42,53.5,46.44K,7.29%
2-Jan,56.25,56.8,57.17,54.35,73.14K,-1.40%
1-Dec,57.05,50.1,57.3,44.85,55.98K,13.35%
1-Nov,50.33,51.55,53.15,47.45,91.70K,-2.56%
1-Oct,51.65,60.6,60.95,46.7,83.28K,-11.86%
1-Sep,58.6,58.4,61.75,57.6,73.29K,0.60%
1-Aug,58.25,70.9,72.1,56.75,79.66K,-17.63%
1-Jul,70.72,73.55,74.7,66.95,66.68K,-2.79%
1-Jun,72.75,69,73.28,68.67,51.62K,5.70%
1-May,68.83,67.75,69.25,66.1,78.81K,1.85%
1-Apr,67.58,65.2,72.83,64.8,59.55K,4.82%
1-Mar,64.47,63.1,67.67,62.83,92.02K,2.66%
1-Feb,62.8,55.4,63.55,52.6,70.87K,14.60%
1-Jan,54.8,56.5,57.75,54.1,80.86K,-3.57%
Dec-00,56.83,54.7,58.88,54.38,57.63K,4.37%
Nov-00,54.45,51.1,55.02,51.02,73.48K,6.41%
Oct-00,51.17,58.7,59.25,50.5,65.69K,-12.31%
Sep-00,58.35,52.92,58.62,52.8,74.64K,10.26%
Aug-00,52.92,66.85,66.88,51.23,62.90K,-21.31%
Jul-00,67.25,70.6,71.9,64.5,53.03K,-4.75%
Jun-00,70.6,68.15,73.17,67.03,63.56K,3.37%
May-00,68.3,75.9,76.65,67.4,108.03K,-10.89%
Apr-00,76.65,64.45,78.1,63.25,53.53K,19.11%
Mar-00,64.35,57.67,64.5,57.65,88.24K,10.80%
Feb-00,58.08,56.55,58.6,54.95,63.06K,2.34%
Jan-00,56.75,54.95,57.2,54.45,81.14K,4.13%
Dec-99,54.5,52.12,57,50.6,51.89K,4.51%
Nov-99,52.15,45.75,54.25,44.52,98.98K,12.10%
Oct-99,46.52,49.55,50.8,45.6,75.94K,-5.02%
Sep-99,48.98,45.7,49.6,40.98,85.40K,6.94%
Aug-99,45.8,49,54.75,42.15,73.13K,-5.12%
Jul-99,48.27,44.48,49.8,40.2,67.23K,7.55%
Jun-99,44.88,51.7,52.6,44.88,65.88K,-15.24%
May-99,52.95,59.5,60.92,51.55,111.35K,-10.38%
Apr-99,59.08,41.8,59.25,41.42,73.97K,41.17%
Mar-99,41.85,42.7,44.95,40.5,82.86K,-2.67%
Feb-99,43,40.5,46.35,40.15,66.82K,4.83%
Jan-99,41.02,32.8,44.5,30.65,95.98K,25.64%
Dec-98,32.65,28.6,33.8,20.7,82.65K,14.36%
Nov-98,28.55,37.1,37.2,27.9,101.28K,-23.66%
Oct-98,37.4,42.75,43.1,37.23,65.30K,-12.25%
Sep-98,42.62,36.2,43.45,35.4,74.30K,14.35%
Aug-98,37.27,49.3,53.2,37.27,65.96K,-23.91%
Jul-98,48.98,57.95,58.35,47.6,60.67K,-15.33%
Jun-98,57.85,61.25,63.27,57.85,50.10K,-5.55%
May-98,61.25,60.3,63.15,59.9,71.59K,2.22%
Apr-98,59.92,53,61.98,49.25,58.55K,11.96%
Mar-98,53.52,49.15,54,47.3,79.45K,9.18%
Feb-98,49.02,56.95,56.95,47.5,71.69K,-14.23%
Jan-98,57.15,57.75,59.15,56.15,77.55K,-0.95%
