Date,Price,Open,High,Low,Vol.,Change %
Aug-00,66.225,66.6,67.7,65.525,75.04K,-0.75%
Jul-00,66.725,66.8,68.5,66.325,110.21K,-1.11%
Jun-00,67.475,67.8,69.325,66.575,53.25K,-0.44%
May-00,67.775,69.3,69.3,66.85,147.54K,-8.72%
Apr-00,74.25,72.2,74.45,71.25,71.72K,2.87%
Mar-00,72.175,71.125,73.4,71.125,177.95K,3.48%
Feb-00,69.75,70.175,71.4,68.8,74.02K,-0.57%
Jan-00,70.15,69.65,71.475,68.725,157.25K,0.79%
Dec-99,69.6,70.3,70.5,67.925,68.67K,-0.93%
Nov-99,70.25,68.45,71.075,67.925,170.93K,-2.73%
Oct-99,72.225,68.2,72.45,68.175,60.23K,5.79%
Sep-99,68.275,66.4,68.7,65.825,175.85K,2.13%
Aug-99,66.85,64.4,66.95,64.15,58.14K,4.09%
Jul-99,64.225,62.3,65.9,61.35,146.03K,0.75%
Jun-99,63.75,64.3,67.475,62.975,71.26K,-0.78%
May-99,64.25,62.9,64.3,60.625,154.67K,-3.53%
Apr-99,66.6,66.05,68.1,65.35,90.62K,0.60%
Mar-99,66.2,68.15,68.95,65.75,179.70K,1.69%
Feb-99,65.1,61.7,65.95,61.3,84.90K,5.08%
Jan-99,61.95,60.825,63.825,59.45,137.69K,-0.08%
Dec-98,62,63.5,63.65,57.45,58.80K,-1.67%
Nov-98,63.05,64.95,65.2,61.125,153.69K,-1.91%
Oct-98,64.275,59.15,65.65,58.925,70.54K,8.80%
Sep-98,59.075,58.85,62.975,57.425,178.25K,0.64%
Aug-98,58.7,59.05,63.075,57.3,66.68K,-0.30%
Jul-98,58.875,64.5,64.825,58.65,164.49K,-6.51%
Jun-98,62.975,64.7,66.2,62.525,83.57K,-2.44%
May-98,64.55,69.475,69.725,64.025,157.50K,-7.12%
Apr-98,69.5,63.75,69.6,63.65,147.03K,9.02%
Mar-98,63.75,64.6,65.95,63.1,175.29K,-0.97%
Feb-98,64.375,64.2,65.4,61.225,132.48K,-0.35%
Jan-98,64.6,66.55,66.85,63.625,149.39K,-2.78%
Dec-97,66.45,67.05,67.75,65.25,75.86K,-1.12%
Nov-97,67.2,67.575,68.25,66.15,110.33K,-0.48%
Oct-97,67.525,67.9,70.5,65.525,93.18K,-0.26%
Sep-97,67.7,67.15,69.6,67.05,136.43K,0.74%
Aug-97,67.2,67.95,69.15,65.45,86.71K,-0.92%
Jul-97,67.825,64.4,68.325,62.8,187.75K,5.24%
