Month,World.Prod,,,,,,,
5-Jan,34750.42,,,,,,,
5-Feb,34750.42,,,,,,,
5-Mar,34750.42,,,,,,,
5-Apr,34750.42,,,,,,,
5-May,34750.42,,,,,,,
5-Jun,34750.42,,,,,,,
5-Jul,34750.42,,,,,,,
5-Aug,34825,,,,,,,
5-Sep,34825,,,,,,,
5-Oct,34825,,,,,,,
5-Nov,34825,,,,,,,
5-Dec,34825,,,,,,,
6-Jan,34825,,,,,,,
6-Feb,34825,,,,,,,
6-Mar,34825,,,,,,,
6-Apr,34825,,,,,,,
6-May,34825,,,,,,,
6-Jun,34825,,,,,,,
6-Jul,34825,,,,,,,
6-Aug,37339.17,,,,,,,
6-Sep,37339.17,,,,,,,
6-Oct,37339.17,,,,,,,
6-Nov,37339.17,,,,,,,
6-Dec,37339.17,,,,,,,
7-Jan,37339.17,,,,,,,
7-Feb,37339.17,,,,,,,
7-Mar,37339.17,,,,,,,
7-Apr,37339.17,,,,,,,
7-May,37339.17,,,,,,,
7-Jun,37339.17,,,,,,,
7-Jul,37339.17,,,,,,,
7-Aug,38959.33,,,,,,,
7-Sep,38959.33,,,,,,,
7-Oct,38959.33,,,,,,,
7-Nov,38959.33,,,,,,,
7-Dec,38959.33,,,,,,,
8-Jan,38959.33,,,,,,,
8-Feb,38959.33,,,,,,,
8-Mar,38959.33,,,,,,,
8-Apr,38959.33,,,,,,,
8-May,38959.33,,,,,,,
8-Jun,38959.33,,,,,,,
8-Jul,38959.33,,,,,,,
8-Aug,41696.92,,,,,,,
8-Sep,41696.92,,,,,,,
8-Oct,41696.92,,,,,,,
8-Nov,41696.92,,,,,,,
8-Dec,41696.92,,,,,,,
9-Jan,41696.92,,,,,,,
9-Feb,41696.92,,,,,,,
9-Mar,41696.92,,,,,,,
9-Apr,41696.92,,,,,,,
9-May,41696.92,,,,,,,
9-Jun,41696.92,,,,,,,
9-Jul,41696.92,,,,,,,
9-Aug,41839.92,,,,,,,
9-Sep,41839.92,,,,,,,
9-Oct,41839.92,,,,,,,
9-Nov,41839.92,,,,,,,
9-Dec,41839.92,,,,,,,
10-Jan,41839.92,,,,,,,
10-Feb,41839.92,,,,,,,
10-Mar,41839.92,,,,,,,
10-Apr,41839.92,,,,,,,
10-May,41839.92,,,,,,,
10-Jun,41839.92,,,,,,,
10-Jul,44487.75,,,,,,,
10-Aug,44487.75,,,,,,,
10-Sep,44487.75,,,,,,,
10-Oct,44487.75,,,,,,,
10-Nov,44487.75,,,,,,,
10-Dec,44487.75,,,,,,,
11-Jan,44487.75,,,,,,,
11-Feb,44487.75,,,,,,,
11-Mar,44487.75,,,,,,,
11-Apr,44487.75,,,,,,,
11-May,44487.75,,,,,,,
11-Jun,44487.75,,,,,,,
11-Jul,44487.75,,,,,,,
11-Aug,49792,,,,,,,
11-Sep,49792,,,,,,,
11-Oct,49792,,,,,,,
11-Nov,49792,,,,,,,
11-Dec,49792,,,,,,,
