Month,US.Prod
16-Jun,1133.5
16-Jul,1133.5
16-Aug,1262.34
16-Sep,1262.34
16-Oct,1262.34
16-Nov,1262.34
16-Dec,1262.34
17-Jan,1262.34
17-Feb,1262.34
17-Mar,1262.34
17-Apr,1262.34
17-May,1262.34
17-Jun,1262.34
17-Jul,1262.34
17-Aug,1217.45
17-Sep,1217.45
17-Oct,1217.45
17-Nov,1217.45
17-Dec,1217.45
18-Jan,1217.45
18-Feb,1217.45
18-Mar,1217.45
18-Apr,1217.45
18-May,1217.45
18-Jun,1217.45
18-Jul,1217.45
18-Aug,1195.03
18-Sep,1195.03
18-Oct,1195.03
18-Nov,1195.03
18-Dec,1195.03
19-Jan,1195.03
19-Feb,1195.03
19-Mar,1195.03
19-Apr,1195.03
19-May,1195.03
19-Jun,1195.03
19-Jul,1195.03
19-Aug,1140.96
19-Sep,1140.96
19-Oct,1140.96
19-Nov,1140.96
19-Dec,1140.96
20-Jan,1140.96
20-Feb,1140.96
20-Mar,1140.96
